FID,Station_Co,latitude,longitude,agency
0,AR005,51.632962999999997,-8.768039999999999,EPA
1,AR010,51.644452000000001,-8.762765999999999,EPA
2,AR020,51.641601999999999,-8.762655000000001,EPA
3,AR025,51.641905000000001,-8.759138999999999,EPA
4,AR030,51.645346000000004,-8.751806000000000,EPA
5,AR040,51.638142999999999,-8.736751999999999,EPA
6,AR050,51.639584999999997,-8.716319000000000,EPA
7,AR060,51.635508999999999,-8.710164000000001,EPA
8,AR070,51.645888999999997,-8.693889000000000,EPA
9,AR080,51.635688000000002,-8.696391000000000,EPA
10,AR090,51.638129999999997,-8.686045361000000,EPA
11,AR100,51.642290000000003,-8.673897999999999,EPA
12,AR110,51.636042000000003,-8.673446999999999,EPA
13,AR120,51.625777999999997,-8.672578000000000,EPA
14,AV010,52.798800000000000,-6.150700000000000,EPA
15,AV020,52.794100000000000,-6.144900000000000,EPA
16,AV030,52.792900000000003,-6.144900000000000,EPA
17,AV040,52.793700000000001,-6.140800000000000,EPA
18,AV110,52.801299999999998,-6.129200000000000,EPA
19,AV120,52.793500000000002,-6.122500000000000,EPA
20,AV130,52.784700000000001,-6.135000000000000,EPA
21,AV150,52.858606999999999,-6.031740000000000,EPA
22,AV160,52.733848000000002,-6.119512000000000,EPA
23,BB410,51.649616999999999,-9.666586000000001,EPA
24,BB420,51.648145999999997,-9.746556999999999,EPA
25,BB430,51.621386000000001,-9.765086000000000,EPA
26,BB440,51.574840000000002,-9.903924000000000,EPA
27,BE010,53.716099999999997,-6.375500000000000,EPA
28,BE020,53.715000000000003,-6.343600000000000,EPA
29,BE030,53.718000000000004,-6.329100000000000,EPA
30,BE040,53.720399999999998,-6.309900000000000,EPA
31,BE050,53.724299999999999,-6.288000000000000,EPA
32,BE060,53.731800000000000,-6.268800000000000,EPA
33,BE070,53.724299999999999,-6.251100000000000,EPA
34,BE080,53.718499999999999,-6.222200000000000,EPA
35,BE090,53.734000000000002,-6.229300000000000,EPA
36,BE100,53.706400000000002,-6.220200000000000,EPA
37,BH010,54.240921000000000,-9.888693999999999,EPA
38,BH020,54.265234999999997,-9.880917000000000,EPA
39,BH100,54.286589999999997,-9.846387000000000,EPA
40,BH110,54.274101000000002,-9.879434000000000,EPA
41,BH120,54.288400000000003,-9.868166000000000,EPA
42,BH130,54.297078999999997,-9.896376000000000,EPA
43,BH140,54.276719000000000,-9.928742000000000,EPA
44,BH150,54.303305000000002,-9.932126000000000,EPA
45,BH160,54.311396999999999,-9.973480000000000,EPA
46,BH170,54.313716999999997,-9.884297000000000,EPA
47,BM010,53.463600000000000,-6.219500000000000,EPA
48,BM020,53.468800000000002,-6.209200000000000,EPA
49,BM110,53.460000000000001,-6.190000000000000,EPA
50,BM120,53.463999999999999,-6.184200000000000,EPA
51,BM130,53.461199999999998,-6.185100000000000,EPA
