chapter,chapt_no,chapt_title,domain,sub_domain,figure_no,variable,available_data,unit
2.13 Ozone,2.13,Ozone,atmoshperic,ac,2.25.,ozone_concentration,moving_average__12month__ozone_concentration,ppb
2.13 Ozone,2.13,Ozone,atmoshperic,ac,2.26.,ozone_concentration,mean__monthly__ozone_concentration,ppb
2.13 Ozone,2.13,Ozone,atmoshperic,ac,2.26.,ozone_concentration,moving_average__12month__ozone_concentration,ppb
2.14 Aerosols,2.14,Aerosols,atmoshperic,ac,2.28.,aerosols_scattering_coefficient,median__monthly__aerosols_scattering_coefficient,1/ Mm3
2.14 Aerosols,2.14,Aerosols,atmoshperic,ac,2.28.,aerosols_scattering_coefficient,median__annual__aerosols_scattering_coefficient,1/ Mm3
2.14 Aerosols,2.14,Aerosols,atmoshperic,ac,2.29.,sulphur_concentration,sulphur_concentration,ug/m3
2.14 Aerosols,2.14,Aerosols,atmoshperic,ac,2.29.,sulphur_concentration,sulphur_concentration,ug/m3
2.15 Precursors for Aerosols and Ozone,2.15,Precursors for Aerosols and Ozone,atmoshperic,ac,2.31.,nitrogen_dioxide_concentration,nitrogen_dioxide_concentration,ug/m3
2.15 Precursors for Aerosols and Ozone,2.15,Precursors for Aerosols and Ozone,atmoshperic,ac,2.31.,nitrogen_dioxide_concentration,mean__monthly__nitrogen_dioxide_concentration,ug/m3
3.1 Ocean Surface and Subsurface Temperature,3.1 ,Ocean Surface and Subsurface Temperature,oceanic,sop,3.1.,surface_sea_temperature,mean__annual__surface_sea_temperature,C
3.1 Ocean Surface and Subsurface Temperature,3.1 ,Ocean Surface and Subsurface Temperature,oceanic,sop,3.1.,surface_sea_temperature,moving_average__11year__surface_sea_temperature,C
3.1 Ocean Surface and Subsurface Temperature,3.1 ,Ocean Surface and Subsurface Temperature,oceanic,sop,3.1.,surface_sea_temperature_anomaly,mean__annual__surface_sea_temperature_anomaly,C
3.1 Ocean Surface and Subsurface Temperature,3.1 ,Ocean Surface and Subsurface Temperature,oceanic,sop,3.1.,surface_sea_temperature_anomaly,moving_average__11year__surface_sea_temperature_anomaly,C
3.1 Ocean Surface and Subsurface Temperature,3.1 ,Ocean Surface and Subsurface Temperature,oceanic,ssop,3.3.,subsurface_sea_temperature,mean__annual__subsurface_sea_temperature,C
3.1 Ocean Surface and Subsurface Temperature,3.1 ,Ocean Surface and Subsurface Temperature,oceanic,ssop,3.3.,subsurface_sea_temperature,moving_average__11year__subsurface_sea_temperature,C
3.1 Ocean Surface and Subsurface Temperature,3.1 ,Ocean Surface and Subsurface Temperature,oceanic,ssop,3.3.,subsurface_sea_temperature_anomaly,mean__annual__subsurface_sea_temperature_anomaly,C
